feature,importance
enter_fluid_temp_t-60,1.69556
enter_fluid_temp_t-31,0.17588513
enter_fluid_temp_t-40,0.12079365
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-36,0.117660426
check_tier-1_cooling_system_temp_apc-rc-13_unit_air_temp_t-59,0.10997439
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-49,0.10374996
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-60,0.10326114
enter_fluid_temp_t-39,0.09921796
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-44,0.098480806
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-18,0.09620509
check_tier-1_cooling_system_temp_apc-rc-2_return_air_temp_t-41,0.0926758
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-50,0.09157688
enter_fluid_temp_t-43,0.09082344
enter_fluid_temp_t-32,0.0906197
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-5_fluid_temp_t-60,0.0898948
enter_fluid_temp_t-36,0.08936466
enter_fluid_temp_t-38,0.084802635
check_tier-1_cooling_system_temp_apc-rc-2_return_air_temp_t-9,0.083214425
check_tier-1_cooling_system_temp_apc-rc-2_return_air_temp_t-21,0.08288167
enter_fluid_temp_t-46,0.08083307
enter_fluid_temp_t-44,0.080040224
enter_fluid_temp_t-47,0.0785758
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-17,0.07745999
enter_fluid_temp_t-42,0.07741202
check_tier-1_cooling_system_temp_apc-rc-2_unit_air_temp_t-60,0.07736199
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-47,0.07540685
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-46,0.07524696
check_tier-1_cooling_system_temp_apc-rc-2_return_air_temp_t-40,0.07431546
enter_fluid_temp_t-45,0.07155538
enter_fluid_temp_t-41,0.06894507
check_tier-1_cooling_system_temp_apc-rc-2_return_air_temp_t-10,0.06740981
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-32,0.06253812
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-60,0.060618736
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-60,0.060270533
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-31,0.059499335
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-43,0.059014514
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-59,0.05838707
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-46,0.05784
check_tier-1_cooling_system_temp_apc-rc-2_return_air_temp_t-7,0.056919288
enter_fluid_temp_t-50,0.056885935
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-48,0.05674704
check_tier-1_cooling_system_temp_apc-rc-24_unit_air_temp_t-60,0.05540836
check_tier-1_cooling_system_temp_apc-rc-10_unit_air_temp_t-47,0.054750714
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-35,0.054629616
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-30,0.054510538
check_tier-1_cooling_system_temp_apc-rc-2_return_air_temp_t-1,0.054410506
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-51,0.053568482
check_tier-1_cooling_system_temp_apc-rc-5_unit_air_temp_t-50,0.05030416
enter_fluid_temp_t-48,0.049014453
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-34,0.045825038
enter_fluid_temp_t-37,0.045257095
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-48,0.044764377
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-60,0.044302374
check_tier-1_cooling_system_temp_apc-rc-24_unit_air_temp_t-46,0.044263635
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-60,0.04363602
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-35,0.043380067
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-31,0.042223793
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-59,0.04157368
hour_sin_t-37,0.041150045
enter_fluid_temp_t-49,0.040674657
check_tier-1_cooling_system_temp_apc-rc-13_return_air_temp_t-31,0.040345207
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-37,0.040308066
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-34,0.03873156
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-38,0.03850161
check_tier-1_cooling_system_temp_apc-rc-19_return_air_temp_t-15,0.038484264
check_tier-1_cooling_system_cool_output_apc-rc-16_cool_output_t-18,0.038153514
